method,checkpoint,probe_checkpoint,query_entries,source_query_cases,avg_kept_in_pool,avg_pred_hamming_kept,avg_query_margin_kept,macro_Recall@1,macro_Recall@5,macro_Recall@10,macro_Precision@1,macro_Precision@5,macro_Precision@10,micro_Recall@1,micro_Recall@5,micro_Recall@10,micro_Precision@1,micro_Precision@5,micro_Precision@10
A_cal_query_hardh2_accuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,32.70156117632821,1.766329235493229,0.1846571669114985,0.1213611285441258,0.3503086273282216,0.4729715154736866,0.1213611285441258,0.1007600049563216,0.0857037564070943,0.0943059421517608,0.285852595909476,0.4088406147888176,0.0943059421517608,0.0799164952196529,0.0711908507805879
A_cal_query_hardh2_balancedaccuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,4.079238775263222,1.8260489119228749,0.2918446412469974,0.0952542375733634,0.2787211756761379,0.4130148112160677,0.0952542375733634,0.0777889705604052,0.0689639275563608,0.0767578361369962,0.2352656420186373,0.3489652668522328,0.0767578361369962,0.0630037516640439,0.0560722497882118
A_cal_query_hardh2_f1,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,8.978821251361492,1.8197370860002624,0.1915779801298007,0.10447047746211,0.3004813753330771,0.4334410614165101,0.10447047746211,0.0867346509943259,0.0759218557922183,0.0882851264673847,0.2631610795110735,0.3796139416676752,0.0882851264673847,0.0728851506716679,0.0648584049376735
A_cal_query_hardh2_precisionrecallmid,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,16.249788212513614,1.7998340054119464,0.2093616972527606,0.1106509778489465,0.3281710758790516,0.4545786938296503,0.1106509778489465,0.0925240536071556,0.079744671707737,0.0922485779983057,0.2812840372745976,0.3991589011254992,0.0922485779983057,0.0770180321916969,0.0677266126104316
A_cal_query_only_accuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,320.75732179595786,5.199526992206869,0.2327844290246277,0.0993465457858176,0.2928937333200844,0.4174197697514383,0.0993465457858176,0.0825067150002103,0.0702000843574116,0.0757896647706644,0.2338133849691395,0.3445782403485417,0.0757896647706644,0.0629977005930043,0.0561206583565285
A_cal_query_only_balancedaccuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,372.4768243979185,8.696057185009492,0.3979191393008189,0.0959641938803399,0.2846905603268214,0.4079117275947636,0.0959641938803399,0.0804653222144512,0.0690794682300693,0.0724313203437008,0.2273689943119932,0.3368026140626891,0.0724313203437008,0.0607346000242037,0.0542629795473792
A_cal_query_only_f1,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,325.08174996974464,6.93959299992609,0.2563458554757551,0.0971095920379054,0.283458943422818,0.410344154863138,0.0971095920379054,0.0803061101505547,0.0688340047274749,0.074246641655573,0.2322703618540481,0.3439731332445843,0.074246641655573,0.0625983299043924,0.0559330751543017
A_cal_query_only_precisionrecallmid,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,339.664679898342,6.269382667544389,0.2762291076490873,0.0999274634088675,0.285932969420836,0.4166353415120311,0.0999274634088675,0.0796397620515206,0.0684418931440094,0.0745189398523538,0.2317560208156844,0.3422485779983057,0.0745189398523538,0.0620053249425142,0.0553763766186609
B_cal_soft_lq010_lh010_ls005_accuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,500.0,4.773189746668447,0.0520655203169328,0.0984444659479051,0.2891477824000402,0.4081213048310564,0.0984444659479051,0.0837256059943793,0.0699971991704388,0.077030134333777,0.2335713421275565,0.3416737262495462,0.077030134333777,0.0635725523417638,0.0564111097664281
B_cal_soft_lq010_lh010_ls005_balancedaccuracy,/mnt/meditech/group1/deep_learning/cluster/artifacts/training_runs/hpsearch_hamming_weighted_v7_20260626_163418_long/hamming_weighted_v7_v7_70_001_h2_0p75_off0p7_same0p2_weak0p1_h20p75_lr5em05_beta0p75_long/checkpoints/best_val_official_like_at10.pt,/mnt/meditech/group1/deep_learning/cluster/artifacts/results/probe_reranker_v2_calibrated/probe_reranker_v2_calibrated_20260627_020152/probe/best_probe.pt,14,33052,500.0,8.14207336125154,0.2529551501815172,0.0984444659479051,0.2891477824000402,0.4081213048310564,0.0984444659479051,0.0837256059943793,0.0699971991704388,0.077030134333777,0.2335713421275565,0.3416737262495462,0.077030134333777,0.0635725523417638,0.0564111097664281
